area-name,duoarea,period,process,process-name,product,product-name,series,series-description,units,value
PADD 1A,R1X,2012-07,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200011001,New England (PADD 1A) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,4315.5
PADD 1,R10,2012-08,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200010001,East Coast (PADD 1) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,39086
PADD 1C,R1Z,2012-08,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200013001,Lower Atlantic (PADD 1C) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,19884.3
PADD 1B,R1Y,2012-08,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200012001,Central Atlantic (PADD 1B) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,14431.6
PADD 1A,R1X,2012-08,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200011001,New England (PADD 1A) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,4770.1
PADD 1B,R1Y,2012-09,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200012001,Central Atlantic (PADD 1B) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,14340.5
PADD 1C,R1Z,2012-09,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200013001,Lower Atlantic (PADD 1C) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,18276
PADD 1,R10,2012-09,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200010001,East Coast (PADD 1) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,37532.4
PADD 1A,R1X,2012-09,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200011001,New England (PADD 1A) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,4915.9
PADD 1,R10,2012-10,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200010001,East Coast (PADD 1) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,42818.8
PADD 1C,R1Z,2012-10,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200013001,Lower Atlantic (PADD 1C) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,20040.7
PADD 1B,R1Y,2012-10,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200012001,Central Atlantic (PADD 1B) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,16520.5
PADD 1A,R1X,2012-10,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200011001,New England (PADD 1A) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,6257.6
PADD 1,R10,2012-11,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200010001,East Coast (PADD 1) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,46969.4
PADD 1C,R1Z,2012-11,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200013001,Lower Atlantic (PADD 1C) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,19906.1
PADD 1A,R1X,2012-11,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200011001,New England (PADD 1A) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,7969.7
PADD 1B,R1Y,2012-11,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200012001,Central Atlantic (PADD 1B) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,19093.6
PADD 1,R10,2012-12,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200010001,East Coast (PADD 1) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,46160
PADD 1B,R1Y,2012-12,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200012001,Central Atlantic (PADD 1B) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,19264.2
PADD 1C,R1Z,2012-12,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200013001,Lower Atlantic (PADD 1C) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,17366.6
PADD 1A,R1X,2012-12,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200011001,New England (PADD 1A) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,9529.2
PADD 1B,R1Y,2013-01,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200012001,Central Atlantic (PADD 1B) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,22451.5
PADD 1C,R1Z,2013-01,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200013001,Lower Atlantic (PADD 1C) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,19026.6
PADD 1,R10,2013-01,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200010001,East Coast (PADD 1) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,53455.2
PADD 1A,R1X,2013-01,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200011001,New England (PADD 1A) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,11977.1
PADD 1,R10,2013-02,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200010001,East Coast (PADD 1) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,53731.6
PADD 1C,R1Z,2013-02,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200013001,Lower Atlantic (PADD 1C) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,19310.4
PADD 1B,R1Y,2013-02,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200012001,Central Atlantic (PADD 1B) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,23161.4
PADD 1A,R1X,2013-02,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200011001,New England (PADD 1A) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,11259.8
PADD 1,R10,2013-03,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200010001,East Coast (PADD 1) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,47671
PADD 1C,R1Z,2013-03,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200013001,Lower Atlantic (PADD 1C) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,19368.8
PADD 1A,R1X,2013-03,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200011001,New England (PADD 1A) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,8779
PADD 1B,R1Y,2013-03,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200012001,Central Atlantic (PADD 1B) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,19523.2
PADD 1,R10,2013-04,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200010001,East Coast (PADD 1) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,45019.5
PADD 1C,R1Z,2013-04,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200013001,Lower Atlantic (PADD 1C) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,19736.8
PADD 1B,R1Y,2013-04,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200012001,Central Atlantic (PADD 1B) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,18315.4
PADD 1A,R1X,2013-04,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200011001,New England (PADD 1A) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,6967.4
PADD 1,R10,2013-05,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200010001,East Coast (PADD 1) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,39321.3
PADD 1B,R1Y,2013-05,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200012001,Central Atlantic (PADD 1B) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,14738.3
PADD 1C,R1Z,2013-05,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200013001,Lower Atlantic (PADD 1C) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,19280.5
PADD 1A,R1X,2013-05,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200011001,New England (PADD 1A) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,5302.5
PADD 1B,R1Y,2013-06,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200012001,Central Atlantic (PADD 1B) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,13978.5
PADD 1C,R1Z,2013-06,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200013001,Lower Atlantic (PADD 1C) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,18688.4
PADD 1,R10,2013-06,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200010001,East Coast (PADD 1) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,37177.1
PADD 1A,R1X,2013-06,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200011001,New England (PADD 1A) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,4510.2
PADD 1B,R1Y,2013-07,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200012001,Central Atlantic (PADD 1B) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,14195.1
PADD 1C,R1Z,2013-07,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200013001,Lower Atlantic (PADD 1C) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,18217.7
PADD 1,R10,2013-07,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200010001,East Coast (PADD 1) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,36921.8
PADD 1A,R1X,2013-07,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200011001,New England (PADD 1A) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,4509
PADD 1,R10,2013-08,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200010001,East Coast (PADD 1) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,37856.5
PADD 1C,R1Z,2013-08,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200013001,Lower Atlantic (PADD 1C) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,18605.7
PADD 1B,R1Y,2013-08,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200012001,Central Atlantic (PADD 1B) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,14574.4
PADD 1A,R1X,2013-08,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200011001,New England (PADD 1A) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,4676.5
PADD 1B,R1Y,2013-09,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200012001,Central Atlantic (PADD 1B) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,15587.9
PADD 1C,R1Z,2013-09,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200013001,Lower Atlantic (PADD 1C) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,18538.4
PADD 1,R10,2013-09,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200010001,East Coast (PADD 1) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,39462.2
PADD 1A,R1X,2013-09,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200011001,New England (PADD 1A) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,5335.9
PADD 1,R10,2013-10,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200010001,East Coast (PADD 1) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,43637.6
PADD 1C,R1Z,2013-10,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200013001,Lower Atlantic (PADD 1C) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,19831.6
PADD 1B,R1Y,2013-10,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200012001,Central Atlantic (PADD 1B) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,17187.3
PADD 1A,R1X,2013-10,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200011001,New England (PADD 1A) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,6618.6
PADD 1,R10,2013-11,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200010001,East Coast (PADD 1) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,45724.7
PADD 1C,R1Z,2013-11,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200013001,Lower Atlantic (PADD 1C) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,18862.8
PADD 1A,R1X,2013-11,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200011001,New England (PADD 1A) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,8477.2
PADD 1B,R1Y,2013-11,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200012001,Central Atlantic (PADD 1B) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,18384.7
PADD 1,R10,2013-12,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200010001,East Coast (PADD 1) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,49816.1
PADD 1B,R1Y,2013-12,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200012001,Central Atlantic (PADD 1B) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,20018.7
PADD 1C,R1Z,2013-12,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200013001,Lower Atlantic (PADD 1C) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,18171.2
PADD 1A,R1X,2013-12,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200011001,New England (PADD 1A) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,11626.2
PADD 1B,R1Y,2014-01,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200012001,Central Atlantic (PADD 1B) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,24840.1
PADD 1C,R1Z,2014-01,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200013001,Lower Atlantic (PADD 1C) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,19865.2
PADD 1,R10,2014-01,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200010001,East Coast (PADD 1) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,57879.3
PADD 1A,R1X,2014-01,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200011001,New England (PADD 1A) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,13174
PADD 1,R10,2014-02,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200010001,East Coast (PADD 1) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,55066.9
PADD 1C,R1Z,2014-02,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200013001,Lower Atlantic (PADD 1C) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,20038.8
PADD 1B,R1Y,2014-02,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200012001,Central Atlantic (PADD 1B) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,23040.1
PADD 1A,R1X,2014-02,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200011001,New England (PADD 1A) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,11988.1
PADD 1,R10,2014-03,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200010001,East Coast (PADD 1) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,50715.8
PADD 1C,R1Z,2014-03,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200013001,Lower Atlantic (PADD 1C) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,19891.9
PADD 1A,R1X,2014-03,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200011001,New England (PADD 1A) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,10332.8
PADD 1B,R1Y,2014-03,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200012001,Central Atlantic (PADD 1B) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,20491.1
PADD 1,R10,2014-04,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200010001,East Coast (PADD 1) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,45159.6
PADD 1C,R1Z,2014-04,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200013001,Lower Atlantic (PADD 1C) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,20992.1
PADD 1B,R1Y,2014-04,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200012001,Central Atlantic (PADD 1B) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,17265.5
PADD 1A,R1X,2014-04,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200011001,New England (PADD 1A) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,6901.9
PADD 1,R10,2014-05,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200010001,East Coast (PADD 1) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,41483.4
PADD 1B,R1Y,2014-05,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200012001,Central Atlantic (PADD 1B) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,15814.2
PADD 1C,R1Z,2014-05,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200013001,Lower Atlantic (PADD 1C) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,20591.5
PADD 1A,R1X,2014-05,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200011001,New England (PADD 1A) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,5077.7
PADD 1B,R1Y,2014-06,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200012001,Central Atlantic (PADD 1B) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,14910.4
PADD 1C,R1Z,2014-06,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200013001,Lower Atlantic (PADD 1C) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,20318.2
PADD 1,R10,2014-06,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200010001,East Coast (PADD 1) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,39880.7
PADD 1A,R1X,2014-06,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200011001,New England (PADD 1A) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,4652.1
PADD 1B,R1Y,2014-07,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200012001,Central Atlantic (PADD 1B) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,14992.4
PADD 1C,R1Z,2014-07,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200013001,Lower Atlantic (PADD 1C) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,20148.9
PADD 1,R10,2014-07,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200010001,East Coast (PADD 1) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,39581.1
PADD 1A,R1X,2014-07,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200011001,New England (PADD 1A) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,4439.8
PADD 1,R10,2014-08,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200010001,East Coast (PADD 1) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,38018.7
PADD 1C,R1Z,2014-08,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200013001,Lower Atlantic (PADD 1C) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,19031.2
PADD 1B,R1Y,2014-08,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200012001,Central Atlantic (PADD 1B) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,14580.5
PADD 1A,R1X,2014-08,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200011001,New England (PADD 1A) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,4407
PADD 1B,R1Y,2014-09,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200012001,Central Atlantic (PADD 1B) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,16155.9
PADD 1C,R1Z,2014-09,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200013001,Lower Atlantic (PADD 1C) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,20235.5
PADD 1,R10,2014-09,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200010001,East Coast (PADD 1) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,42032.1
PADD 1A,R1X,2014-09,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200011001,New England (PADD 1A) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,5640.8
PADD 1,R10,2014-10,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200010001,East Coast (PADD 1) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,45116.1
PADD 1C,R1Z,2014-10,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200013001,Lower Atlantic (PADD 1C) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,20788.4
PADD 1B,R1Y,2014-10,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200012001,Central Atlantic (PADD 1B) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,18139.5
PADD 1A,R1X,2014-10,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200011001,New England (PADD 1A) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,6188.2
PADD 1,R10,2014-11,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200010001,East Coast (PADD 1) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,47129.5
PADD 1C,R1Z,2014-11,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200013001,Lower Atlantic (PADD 1C) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,19758.9
PADD 1A,R1X,2014-11,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200011001,New England (PADD 1A) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,7827.6
PADD 1B,R1Y,2014-11,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200012001,Central Atlantic (PADD 1B) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,19543
PADD 1,R10,2014-12,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200010001,East Coast (PADD 1) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,51174.7
PADD 1B,R1Y,2014-12,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200012001,Central Atlantic (PADD 1B) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,21825.9
PADD 1C,R1Z,2014-12,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200013001,Lower Atlantic (PADD 1C) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,19658.9
PADD 1A,R1X,2014-12,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200011001,New England (PADD 1A) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,9689.9
PADD 1B,R1Y,2015-01,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200012001,Central Atlantic (PADD 1B) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,23718.3
PADD 1C,R1Z,2015-01,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200013001,Lower Atlantic (PADD 1C) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,20020.9
PADD 1,R10,2015-01,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200010001,East Coast (PADD 1) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,55980.1
PADD 1A,R1X,2015-01,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200011001,New England (PADD 1A) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,12240.9
PADD 1,R10,2015-02,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200010001,East Coast (PADD 1) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,63038.1
PADD 1C,R1Z,2015-02,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200013001,Lower Atlantic (PADD 1C) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,21752.5
